...1,id,reference,description,intern_A,intern_B,verdict
1816,1816,2019-3,"(U) REPUBLIC OF THE CONGO: On 7 January, 12 seafarers, who were kidnapped from the Panama-flagged tanker ANUKET AMBER and the Singapore-flagged anchor handling and supply vessel ARK TZE in October 2018 off the countrys coast, have been released and are all safe. The managers of the vessels confirmed their releases in an official  statement. (www.safety4sea.com)",exclude,keep,
1819,1819,2017-85,"INDONESIA: On 26 March at 1254Z, an underway tanker was approached by two speed boats with two persons in each boat. Vessel took evasive action, sounded the horn and directed signal lamp towards boats. At a distance of 15 meters from the tanker, the speed boats aborted and moved away.",keep,exclude,
1820,1820,2017-86,"SOMALIA: On 24 March, possible mothership operations in area within 300 miles of 07-58N 049-53E have been reported.",exclude,keep,
1821,1821,2017-266,"GULF OF ADEN: On 07 October, a merchant vessel reported a suspicious approach by four dark-hulled skiffs with 4-5 persons in each skiff near position 11-56N 044-43E, approximately 54 nm southwest of Aden. They approached to 0.7 nm and turned away.",exclude,keep,
1847,1847,2019-38,"NICARAGUA: On 11 April, A Canada-flagged yacht with 4 persons onboard departed Roatan, Honduras, for Isla Providencia, Colombia. Near position 14-50N 082-47W, 23 miles east-southeast of Cabo Gracias a Dios, they were approached by four local fishing boats, with between 20 and 25 men total. They surrounded and began ramming the yacht, damaging the stern ladder and swim platform, damaging the hull on both sides, and then began boarding the yacht. The crew had begun MAYDAY calls on VHF and retreated and secured themselves safely below, protected by interior security bars that covered all hatches and companionways. Mayhem ensued topsides, as the pirates ransacked and destroyed sails, halyards, cushions, etc. The pirates used fishing knives and the yacht¿s heavy winch handles to smash all port lights, the pilothouse windows, and the Plexiglas hatch. The pirates proceeded to steal all electronic and navigation equipment, scuba tanks, scuba gear, the yacht¿s dinghy, life raft and various other items. After about 40 minutes the pirates had seemingly exhausted themselves, and stolen, discarded overboard or destroyed almost everything within reach of the topsides. The four pangas departed back toward the Nicaraguan coast. The yacht proceeded under power and set course directly away from the coast, to Providencia, Colombia, and arrived there the next afternoon having had no contact from the Nicaraguan Navy. Reports were made to the Colombian Port Captain and Coast Guard. (www.safetyandsecuritynet.org)",keep,exclude,
1850,1850,2019-41,"INDIA: On 13 April, five boats with eleven persons approached a tanker during anchoring operations near position 17-37N 083-19E, Visakhapatnam SPM Anchorage. Upon anchoring, the boats came alongside, hooked on ropes to the ship¿s rails and commenced boarding the tanker. Alarm was raised, ship¿s horn sounded, and the crew mustered on deck. Port authorities were notified. The unauthorized persons remained on deck as the crew prevented them from entering the accommodation. They did not confront the crew but refused to leave the tanker. Finally, on seeing the approaching pilot boat, the unauthorized persons disembarked. (IMB)",exclude,keep,
1862,1862,2018-168,"(U) MALAYSIA:  On 12 September, a robber boarded a Malta-flagged bulk carrier from a craft via the portside anchor chain in position 05:45N - 118:04E, Berth 1 AB, Sandakan, Malaysia. Another two robbers were waiting in a craft near the ship. Nothing stolen. Incident reported to local agent. (www.pviltd.com)",exclude,keep,
1872,1872,2017-311,NIGERIA: On 21 November at 2140Z a vessel was approached by pirates in 05-13N 004-03E.,exclude,keep,
1874,1874,2018-44,"NIGERIA: On 07 February, a vessel underway to Lagos, was approached by one skiff in vicinity  03-28N 006-56E, 52 nm south of Bonny. Skiff appeared on the starboard side with eight persons onboard at 4.5 nm with a CPA less than one nm before it increased its speed to 22kts. Armed security team onboard the vessel was alerted and ready to reply. The skiff then reduced speed and escaped. Vessel is safe.",exclude,keep,
1875,1875,2018-45,"BENIN: On 01 February, the IMB Piracy Reporting Centre (IMB PRC) received a missing vessel report from the owners of an anchored tanker MARINE EXPRESS, laden with 13,500 tons of gasoline awaiting berthing instruction in Cotonou, in vicinity 06-16N 002-30E. The IMB PRC notified the regional authorities and the international warships in the Gulf of Guinea, and a search was carried out. The IMB PRC broadcast a message to all ships in the region to look out for the missing tanker. On 06 February, the owners confirmed that the tanker was released. The crew and cargo reported safe.",keep,exclude,
1880,1880,2016-275,"PHILIPPINES: On 13 November, the tanker SOUTHERN FALCON, underway near position 03-40N 119-51E, 65 nm southeast of Sibutu Island, reported a suspicious approach by six speed boats with one armed person in each boat. The boats gave chase to the tanker; the master alerted ships in the vicinity, and commenced maneuvering the vessel. Attempts to contact the Philippines Navy were not successful. After 15 minutes the boats moved away. Vessel and crew are safe.",exclude,keep,
1884,1884,2017-49,"NIGERIA: On 02 March, an alert crewman onboard a general cargo vessel underway near position 04-28N 002-30E, 127 nm southwest of Lagos, noticed a suspicious boat doing 9 knots at a distance of 0.9 nm astern. The cargo vessel increased speed and made large course alterations and the boat appeared to follow. As the cargo vessel was slightly faster, after nearly two hours, the distance increased and the boat moved away. The cargo vessel continued its passage.",exclude,keep,
1907,1907,2017-322,"GULF OF ADEN: On 19 November, a merchant ship reported sighting a suspicious skiff near position 14-04N 051-47 E, near IRTC Point B. The skiff was reportedly carrying a ladder.",keep,exclude,
1920,1920,2017-217,"DOMINICAN REPUBLIC: On 18 August, an unoccupied trimaran on a mooring in Luperon Bay, in vicinity 19-54N 070-57W had its primary mooring line released and the secondary anchor and rope stolen. The boat went adrift and damaged its stern mounted radio antenna when it struck another yacht before grounding on nearby mudflats. Both yachts had minor damage. Report made to the local police.",exclude,keep,
1922,1922,2017-219,"ST MARTIN: On 09 August, a dinghy and outboard motor were stolen from a sailing yacht anchored in  Simpson Bay Lagoon, in vicinity 18-02N 063-06W.",exclude,keep,
1938,1938,2017-124,"PHILIPPINES: On 22 April, an unknown number of robbers boarded an LPG tanker at berth, near position  13-40N 121-03E, Batangas. They stole ship¿s properties and escaped. The theft was discovered by the crew during routine rounds.",exclude,keep,
1947,1947,2017-133,"GULF OF ADEN: On 01 May at 1300Z, a M/V was approached in 12-08N 044-16E. Five skiffs with five persons on board approached the vessel. Skiffs approached to .2NM before armed security team aboard vessel fired warning shots. All five skiffs turned away after the warning shots were fired. Vessel and crew are safe.",keep,exclude,
1956,1956,2018-59,"PANAMA: On 10 February, a sailing yacht anchored in San Blas Nargana, in 09-27N 078-35W, was boarded and electronics were stolen.",keep,exclude,
1985,1985,2017-143,"SAUDI ARABIA: On 25 April, Saudi Arabia confirmed that Yemen based Houthi rebel forces tried to attack an Armco fuel distribution terminal in Jazan province, in vicinity 17-08N 042-20E, with a remotely controlled boat, filled with explosives. The state news agency said that the boat was destroyed by Saudi naval forces before it hit its target.",exclude,keep,
1988,1988,2017-288,GHANA: On 03 November at 0054Z a vessel was possibly hijacked in 05-59N 001-14E.,keep,exclude,
1994,1994,2017-308,"INDONESIA: On 10 November, crewman on routine rounds onboard an LPG Tanker anchored near position 01-28N 104-38E, 14 nm north-northeast of Tanjung Berakit, Pulau Bintan, noticed three unauthorized persons on the poop deck. Alarm raised and crew mustered. A search was carried out throughout the tanker. The pad lock of a mooring hatch cover was found broken. Nothing reported stolen.",exclude,keep,
2009,2009,2018-125,"GHANA:  On 29 April, a merchant vessel anchored near position 04:53N - 001:41.32W, Takoradi anchorage, was boarded by one person. Alarm raised resulting in the perpetrator jumping overboard. Nothing reported stolen. (www.pviltd.com)",keep,exclude,
2019,2019,2017-250,"PANAMA: On 29 August, a thief stole a dinghy and outboard motor from a yacht anchored in Bocas del Toro, in vicinity 09-30N 082-23W.",exclude,keep,
2021,2021,2017-252,"NIGERIA: On 14 September, a supply vessel reported that its security team fired warning shots at a  suspicious speedboat as it headed towards their vessel near position 04-16N 007-02E, 9 nm southwest of Bonny Island. The speedboat had hidden behind a trawler before altering its course towards the vessel.",exclude,keep,
2030,2030,2017-75,"MARTINIQUE: On 17 March, a sailing yacht anchored in St Anne, in vicinity 14-26N 060-53W, had a tiller extension handle stolen from their dinghy at the main dinghy dock. Incident reported to local police.",exclude,keep,
2031,2031,2017-76,"MARTINIQUE: On 17 March, a sailing yacht anchored at St Anne, in vicinity 14-26N 060-53W, reported that the outboard motor on the dinghy had been stolen from the main dinghy dock. Incident reported to local police.",keep,exclude,
2039,2039,2016-281,"PHILIPPINES: On 16 November at 1100 LT in 04-23N 119-37E, five persons wearing masks in a white speed boat approached an underway vessel from astern. Master raised alarm and tried alerting other ships in area. Seeing the alerted crew, the boat moved away and headed towards other vessels in the area. Incident reported to the Philippine Navy and a warship arrived.",exclude,keep,
2046,2046,2016-315,"PHILIPPINES: On 05 December, three Indonesian fishermen were kidnapped near the Philippine island of  Labuan, in vicinity 05-16.8N 115-12.7E. All three fishermen were reportedly released unhurt the following day, and it is believed that the owner of the Sandakan-based trawler or agents of the trawler's owner crossed the border to negotiate the immediate release of the three crewmen and the boat. Local authorities indicated that the three Indonesian crewmen were held by unidentified gunmen because they were reportedly poaching within Philippine waters.",exclude,keep,
2047,2047,2017-105,"YEMEN: On 09 April at 0315Z in 14-20N 053-11E, a vessel reported a suspicious approach. The vessel approached to a distance of 1NM from the bow with an additional four skiffs on the starboard beam at a distance of 0.5NM. Four persons were spotted on each skiff with weapons. Security team aboard vessel showed presence and the vessels moved away.",exclude,keep,
2051,2051,2017-296,"NIGERIA: On 11 November, armed pirates boarded the drifting bulk carrier VENUS BAY near position 04-07N 006-59E, 17nm south-southwest of Bonny Island. They entered the bridge and fired their weapons damaging the bridge windows. The pirates stole ship's properties, crew personal belongings, kidnapped 10 crewmen and escaped in their boat. Two Nigerian Navy vessels intercepted the pirates, rescued the crew and apprehended five pirates. The ship was escorted into the inner anchorage under naval escort and armed guards were placed onboard during the vessels stay. On 12 November 2017, the ship resumed passage under naval escort to Port Harcourt and berthed.",exclude,keep,
2056,2056,2016-235,"SAINT LUCIA: On 1 October, a dinghy was stolen overnight from a sailing yacht anchored in Rodney Bay, vicinity 14-05.9N 060-57.8W. After the owner posted a reward for safe return of the vessel, the dinghy was returned without the fuel tank and a pair of flip flops.",keep,exclude,
2057,2057,2017-298,"SAINT LUCIA: On 25 October, a chartered catamaran was boarded by 4 men in Soufriere, in vicinity 13-51N 061-03W. Two of the men were armed with guns, and one with a knife, all had their faces concealed. The men made many threats and a short struggle ensued. One victim was hit in the face with a gun, the other struck on the head. The boarders demanded cash, cell phones, and passports. The cash and cellphones were surrendered readily and the passports and access to the locked cabin refused. After 20 minutes of further threats of violence and death the 4 men left with the dinghy.",keep,exclude,
2058,2058,2017-299,"YEMEN: On 08 November, a merchant vessel reported a suspicious approach by two skiffs near position 12-30N 043-37E, near Mayyun Island. Seven persons were sighted in each skiff, both of which closed to within 100 meters of the vessel.",exclude,keep,
2064,2064,2017-91,"MARTINIQUE: On 25 March, one robber boarded a catamaran anchored in the Le Marin Marina. The robber went into the cockpit area of the yacht, saw the astonished and concerned crew looking at him, whereupon the robber sat down and stared back at the crew for several minutes. He eventually left the yacht. Incident reported to local police.",exclude,keep,
2069,2069,2017-135,"NIGERIA: On 29 April in 03-15N 007-00E, a suspected pirate mother vessel was observed in the Gulf of Guinea. Vessel was reported as being a supply vessel type around 60-80 meters in length with a white hull.",exclude,keep,
2070,2070,2017-173,"RED SEA: On 14 June, suspected Shiite Huthi rebels fired a missile at a Saudi-led coalition warship off Mocha, Yemen, in vicinity 13-19N 043-15E.",keep,exclude,
2077,2077,2017-227,"MALAYSIA: On 13 August, two robbers attempted to board a berthed tanker near position 05-48N 118-04E, Sandakan Port, but failed in their attempt. Port authorities informed.",keep,exclude,
2079,2079,2017-61,YEMEN: Vessel reported being approached in 13-52N 050-20E on 09 March at 0845Z. Two mother vessels deployed four skiffs that approached the vessel. The vessel showed weapons and the skiffs retreated. Vessel reported safe.,exclude,keep,
2081,2081,2017-257,"MALAYSIA: On October 12 at 0020Z, five persons in two wooden boats boarded an unmanned rig that was being towed in vicinity 01-11.1N 103-33.6E. Tug master raised the alarm and notified local authorities. Vessel and crew reported safe.",exclude,keep,
2082,2082,2017-258,"SOMALIA: On 06 October at 0700Z, two white skiffs with ladders approached a vessel in 13-13N 050-30E. They approached to within 1.2NM and turned away. Crew and vessel are safe.",exclude,keep,
2086,2086,2017-262,"CURACAO: On 16 September, an in the water dinghy with outboard motor was stolen from a yacht anchored in Spanish Water, in vicinity 12-08N 069-02W.",keep,exclude,
2089,2089,2017-265,"INDONESIA: On 30 September, the Indonesian Navy's Western Fleet Quick Response Unit arrested 15  suspected pirates in the Singapore Strait following a tip-off by Singapore authorities. The alleged pirates were in six wooden boats when they were arrested. A spokesman said the arrests were made after Singaporean authorities told them that a barge had been accosted by about 15 unidentified people in Indonesian waters. The barge was sailing around the Malacca and Singapore straits. Further, preliminary investigations show that the barge, LKH 7887, being towed by tugboat KIM HOCK TUG 9, had not actually been attacked because the tugboat crew and the 15 alleged pirates had made a deal, the spokesman said. According to suspects' testimonies, they had attempted  to take items from the barge, such as steel scraps, cables and 19 gallons of diesel, but the tugboat's crew had paid the alleged pirates not to take the items.",exclude,keep,
2095,2095,2017-229,"GRENADA: On 27 August, an unoccupied catamaran was boarded while anchored in Mt. Hartman Bay, in vicinity 12-00N 061-45W. The break-in was discovered the next morning by the care taker. The thieves broke the door lock and thoroughly ransacked the interior of the boat, then badly damaged the main electrical panel and cut cables before removing electronics. Davit lines for the raised dinghy with outboard motor were slashed and it was stolen. There was no attempt to conceal the break-in. The Coast Guard and police were notified and are investigating.",keep,exclude,
2099,2099,2017-233,"RED SEA: On 28 August in position 13-00N 043-10E a merchant vessel reported sighting four skiffs with five to six persons in each boat. Vessel reported seeing one ladder onboard two of the skiffs, no weapons were sighted. The skiffs did not approach any closer than 0.8 nm. Onboard security team showed their weapons and skiffs turned  away. Vessel is safe.",exclude,keep,
2104,2104,2019-58,"MALAYSIA: On 30 May, an unknown number of robbers boarded the barge SINAR JAYA 2912, being towed by Malaysia-flagged tugboat ASIA JAYA 28 near position  01-13N 103-32E, 3.4 nm southeast of Tanjung Piai. The master of the tugboat reported to Singapore Vessel Traffic Information System (VTIS) via VHF that an unknown number of  perpetrators had boarded the barge on tow. The perpetrators escaped in a small craft, with some small tools stolen from the barge. (ReCAAP)",keep,exclude,
2107,2107,2019-61,"MALAYSIA: On 18 June, tenfishermen were kidnapped from two Malaysian fishing vessels in Lahad Datu's Tambisan waters while enroute to Semporna, Sabah. The Hijackers are believed to be linked to Abu Sayyaf and may have fled with the hostages to Sitangkai Island. (www.straitstimes.com; www.globalnation.inquirer.net)",keep,exclude,
2109,2109,2017-208,"ECUADOR: On 05 August, robbers, unnoticed by the crew, boarded a berthed container ship near position 01-00N 079-39W, Esmeraldas Port. The thieves stole brass sounding pipe covers and escaped. The theft was noticed by duty crew on routine rounds.",keep,exclude,
2110,2110,2017-209,"NIGERIA: On 07 August, a duty crewman onboard a tanker berthed near position 06-27N 003-22E,  Folawiyo Terminal, Apapa, Lagos, noticed two robbers trying to insert a flexible hose into a cargo tank. He immediately informed the duty officer who raised the alarm. Seeing the alerted crew, the robbers escaped with their flexible hose. A search was carried out throughout the tanker. Nothing reported stolen. Port control informed.",exclude,keep,
2111,2111,2017-210,"MAURITANIA: On 03 August, a merchant vessel was approached near position 16-48N 016-51W,  approximately 30 nm from Mauritania, by a small vessel claiming to be Mauritanian Navy which requested the MV to stop or they would open fire. Evasive maneuvering commenced and the small vessel went away. Vessel and crew are safe.",keep,exclude,
2128,2128,2019-69,"PANAMA: On 13 July, a monohull with two persons onboard departed Linton Bay, Panama, for the San Blas Islands, Panama. Engine issues caused the yacht to make an unplanned stop in Bahia Nombre de Dios, where no other boats were anchored. The necessary repairs were completed but the hour was late and entering the San Blas in the dark was not an option. The crew planned to lock themselves in securely for the night. They were down below and surprised just after sunset by noise on deck. The captain went up to the cockpit and was ambushed and then restrained by two swimmers who had boarded and concealed themselves behind opposite sides of the spray hood. Immediately a boat with four other men arrived and the captain was held at gunpoint. For 45 minutes the men ransacked and inspected every space in the yacht, stealing cash, credit cards, phones, cameras and video equipment, laptops, a drone, and other items. Some of the men appeared to be high on drugs and were only marginally under the control of the armed leader. Two of the men forced the crew member back into a cabin and indicated they intended to rape her, but the leader prevented this. Once they had collected all things of value, all six men departed in their boat.  (wwwsafetyandsecuritynetorg)",exclude,keep,
2139,2139,2018-154,"(U) MALAYSIA:  On 10 August, several persons in speed boats boarded a tug towing a barge underway near position 05:29N - 119:09E, near Tambisan Island. The crew locked all access into the tug and contacted the local authorities who dispatched a security boat. Due to the hardening of the tug, the persons were unable to enter the accommodation and escaped when they noticed the security boat approaching. The tug continued her voyage to the next port. Crew is reported safe. (IMB; www.thestar.com.my; www.pviltd.com)",keep,exclude,
2148,2148,2018-11,"VENEZUELA: On 28 December, a monohull sailing yacht with 2 persons onboard departed Puerto La Cruz, Venezuela for Grenada. During the mid-morning hours, 2 miles off the Paria Peninsula in vicinity 10-42N 062-30W, and approximately 10 miles east of Cabo Tres Puntas, an open fishing boat with 6 men approached, displaying and firing multiple long guns into the air. The yacht crew immediately altered course and turned offshore. When the pirates came closer, the crew fired their flare gun directly at the pirates, nearly hit them. The pirates, apparently understanding the fire hazard a burning flare would pose to their gasoline-fueled boat turned away, dropped back and made no further approaches. The yacht then headed northwest and made safe port at Porlamar, Margarita, where a report was made to local officials.",exclude,keep,
2155,2155,2018-129,"RED SEA:  On 26 June a merchant vessel in transit reported a suspicious approach by 2 speedboats near position 13:30N - 042:43E, 10 nm south of Jazirat al Hanish al Jabir Island, approximately 31 nm west of Yemen Coast. Vessel reported speedboats with 8-10 persons in each boat. Embarked security team showed weapons and speedboats departed. Speedboats had previously approached 2 other MVs in the vicinity. Vessel is Safe. (UKMTO; www.pviltd.com; www.sguardian.com)",keep,exclude,
2159,2159,2018-133,"HONDURAS:  On 13 May, a yacht transiting northward from Isla Providencia, Colombia, to Grand Cayman, at a position of 15:45 N - 081:32W was off the Gorda Banks and noticed a suspicious vessel on an intercept course from the west-southwest at 2245 hrs. At 2315 the suspect vessel was within a few hundred meters of the yacht, displaying only  running lights. The yacht captain assumed it was law enforcement and turned on its lights and made several calls on VHF 16 that were not answered. The suspect vessel continued to track on an intercept course and increased speed in clear pursuit. The yacht captain believed the pursuing vessel to be a large boat, approximately 70 feet in length, similar to a fishing trawler type vessel. The yacht was making good speed with full sail and added engine to further increase speed and was able to outpace the suspect vessel, which after 20 minutes gave up the pursuit, then stopped dead and lit up. (www.safetyandsecuritynet.org)",keep,exclude,
2163,2163,2018-22,"NIGERIA: On 09 January, two suspicious people boarded a tanker in vicinity 06-18N 003-23E, 5.5 nm south of Lagos. Crew spotted the individuals and they jumped overboard. Nothing was stolen. Vessel and crew are safe.",keep,exclude,
2167,2167,2017-108,"SAINT VINCENT AND THE GRENADINES: On 01 April, a robber boarded a sailing yacht anchored in Charlestown Bay, vicinity 12-42N 061-20W. All yacht entrances were locked and equipment stowed inside, nothing was stolen.",keep,exclude,
2168,2168,2017-109,"SAINT VINCENT AND THE GRENADINES: On 28 March, two robbers boarded a sailing yacht anchored in Charlestown Bay, vicinity 12-42N 061-20W. The yacht owner succeeded in scaring away the robbers and nothing was stolen. Report made to local authorities.",keep,exclude,
2169,2169,2017-110,"ANGOLA: On 07 April, duty crewman on routine rounds onboard a bulk carrier anchored near position 05-52S 013-02E, Congo River, noticed six robbers on the forecastle and informed the duty officer on the bridge. Alarm was raised and ships whistle sounded. Seeing the alerted crew, the robbers escaped in their boat with the stolen ship's properties.",exclude,keep,
2170,2170,2017-111,"GULF OF ADEN: On 08 April, a suspicious skiff with three persons on board approached an underway tanker near position 14-09N 051-37E, approximately 140 nm northwest of Socotra Island. Alarm was raised, crew alerted and onboard security guard showed weapons. Seeing the vessel hardening and alerted crew, the skiff aborted the approach and moved away from the tanker. All crew safe. The tanker continued her passage.",keep,exclude,
2172,2172,2018-24,NIGERIA: On 27 January a vessel was approached by in 06-18N 003-20E.,exclude,keep,
2175,2175,2018-27,"GUINEA: On 23 January, two persons attempted to board a cargo vessel near position 09-30N 013-43W, Conakry Port Terminal. They were spotted trying to climb up ship's line. The alarm was raised. Both jumped back in the water and swam away from the ship.",exclude,keep,
2178,2178,2018-30,"GULF OF ADEN: On 20 January, a small boat made a suspicious approach against a Panama-flagged merchant vessel under escort by a Chinese Navy frigate. The naval vessel fired warning flares and positioned itself for further action against the small boat, forcing it to turn away.",keep,exclude,
2181,2181,2017-70,"ST LUCIA: On 12 March, thieves boarded an unlocked yacht anchored in Soufriere, vicinity 13-51N 061-03W, while crew was ashore for the evening. Cash, cellphones and computers were taken. A report was made to the police.",exclude,keep,
2191,2191,2020-341,"GHANA: On 26 September, a skiff with 8-10 individuals approached the Ghana-flagged fishing vessel AGNES 1 near position 03-36N - 000-28W, approximately 102 NM south of Winneba. The skiff chased the vessel, but later abandoned its pursuit.",exclude,keep,
2209,2209,2020-230,"On 16 June, individuals in two skiffs pursued the Cape Verde-flagged tug ARTIKE approximately 27 NM southeast of Sao Tome at 00:13S - 007:16E. No further information exists at this time.",exclude,keep,
2210,2210,2023-121,"MALAYSIA: On 1 July at 2050 local time, five robbers boarded a barge under tow by a tug in the westbound  lane of the Singapore Strait TSS, near position 01-13N 103-30E. Once on the barge, the perpetrators transferred  scrap metal from the barge onto two sampans. The Malaysian Marine Police from Johor subsequently detained  the five perpetrators and two sampans and seized an estimated 100 tons of stolen scrap metal.",exclude,keep,
2215,2215,2020-248,"On 25 August, four stowaways were found onboard Antigua and Barbuda-flagged general cargo ship JANINA at Valencia. One of them claimed to be minor and he was taken ashore. The rest remained aboard. The ship left Valencia the same day, bound for Mostaganem, Algeria.",exclude,keep,
2218,2218,2023-79,"NIGERIA: On 28 April at 0500 local time, eight perpetrators armed with knives boarded the berthed Liberia?flagged cargo ship MSC WAVE F at Tin Can Island, Lagos, near position 06-25N 003-20E. After being spotted by crew members, the perpetrators escaped overboard to a waiting boat. Nothing was reported stolen and the crew was reported safe.",keep,exclude,
2224,2224,2021-243,"NIGERIA: On 28 September, gunmen attacked and abducted four fishermen in Ibaka, Mbo Local Government Area of Akwa Ibom State. The victims include three Ghanaians and one Nigerian. They were kidnapped in the vicinity of the Nigerian Navy FOB Base in the Ibaka waterway on their way to open waters for a fishing expedition.",exclude,keep,
2225,2225,2020-243,"On 8 July, five individuals in a small boat attempted to come alongside and board the Panamaflagged LPG tanker GLOBAL PHENIX approximately 23 NM southeast of Natuna Island in vicinity of 03:27.5N - 108:40.9E. The ship initiated evasive maneuvers while crew members directed the Aldis lights towards the approaching boat. The boat subsequently broke off its approach and departed the area",keep,exclude,
2226,2226,2022-200,"MALAYSIA: On 7 September at 2325 local time, ten wooden boats were sighted alongside the barge SUNG FATT 36 towed by Malaysia-flagged tugboat SUNG FATT 31 in the westbound lane of the Singapore Strait TSS, near position 01-12N 103-32E. Due to length of towline and hour of darkness, the master and crew aboard the tugboat were not able to determine the number of perpetrators onboard the barge. The master reported robbers stole scrap metal from barge, the crew was not injured, and that no assistance was requested. The tug continued its voyage towing the barge to Penang, Malaysia.",exclude,keep,
2232,2232,2020-295,"On 12 October, Bangladesh Coast Guard personnel detained five alleged Myanmarese robbers and rescued seven kidnapped fishermen during a raid in the Bay of Bengal. During the operation, two single- barreled guns, eight rounds of ammunition, ten long knives and one engine boat were also seized.",keep,exclude,
2237,2237,2023-45,"MALAYSIA: On 10 March at 0300 local time, ten robbers boarded the barge POE 2502 under tow by the Malaysia-flagged tugboat BON SPEED 10, south of Tanjung Piai in the westbound lane of the Singapore Strait TSS, near position 01-12N 103-32E. After the perpetrators left the barge, the master reported that all crew were safe and that scrap metal had been stolen. The tug and barge did not require assistance and continued their passage to Malaysia.",exclude,keep,
2254,2254,2023-9,"GRENADA: On 16/17 January between 2230 and 0130 local time, perpetrators stole an unsecured dinghy with a 15HP Yamaha outboard engine from a yacht anchored in Tyrrel Bay near the approximate position 12-27N 061-29W. An incident report was made on the VHF net and to the local coast guard.",exclude,keep,
2265,2265,2024-30,"RED SEA: On 18 December at 0600 UTC, the Cayman Islands-flagged tanker SWAN ATLANTIC experienced an explosion on its port side approximately 24 NM northwest of Mokha, Yemen (exact location not specified). U.S. CENTCOM subsequently reported that the tanker was attacked by a one-way attack drone and an anti-ship ballistic missile launched from Huthi-controlled territory in Yemen. Through a spokesperson, Huthi forces claimed responsibility for attacking SWAN ATLANTIC and stated that the attack was carried out after the tanker failed to respond to calls from the group. Crew and vessel reported safe.",exclude,keep,
2271,2271,2020-260,"on 31 August at 0810LT, two skiffs approached an underway Singapore-flagged tanker 26.5 NM southeast of Perim Island, near the Bab el Mandeb Strait at position 12:26N - 043:46E. The skiffs with six persons onboard came to within 300 meters when the vessel sounded the alarm. The skiffs aborted their approach upon seeing the vessel's security team onboard. The vessel continued safely to its destination.",keep,exclude,
2281,2281,2021-206,"SAO TOME AND PRINCIPE: On 27 July, a merchant vessel underway approximately 93 NM west of Port Gentil, Gabon, reported a suspicious approach by one fishing vessel and two small skiffs. The incident occurred near position 00-53S 007-07E at approximately 0400 UTC.",keep,exclude,
2286,2286,2021-122,"SAINT MARTIN: On 22 December 2020, a yacht in the Grand Marche anchorage had its dinghy (in the water and not locked) stolen while the owners were onboard. They discovered the cut line at 2200.",exclude,keep,
2309,2309,2020-222,"On 24 May at 2100LT, crew members on a berthed tanker noticed some of the mooring rope from the winch missing at Chittagong Port at 22:16N - 091:49E. A subsequent search by the crew revealed that robbers had managed to board the tanker undetected and steal ship stores.",keep,exclude,
2310,2310,2023-32,"ARABIAN SEA: On 2 March, the United Kingdom Maritime Trade Operations (UKMTO) received reports that an underway vessel was approached by two small crafts approximately 345 NM east of Socotra Island near position 12-24N 060-19E. The two craft with white hulls approached to within 0.1 NM of the vessel. One craft had five persons onboard and the other craft had six persons onboard. Reporting also indicated that these crafts were being supported by a larger blue-hulled vessel.",keep,exclude,
2313,2313,2021-179,"SAINT MARTIN: On 26 April, a robber boarded an unlocked yacht in Marigot Bay and stole a variety of personal electronics. It is not known if a police report was made.",keep,exclude,
2333,2333,2020-198,"On 3 June at 1600LT, pirates hijacked a passenger boat transiting between Port Harcourt and Degema on the New Calabar River near 04:28N - 006:57E. The armed pirates, arriving by speedboat, attacked the boat causing thirteen of the fifteen passengers to jump into the river. The pirates then hijacked the passenger boat, kidnapping two female passengers and an infant.",keep,exclude,
2340,2340,2023-84,"THAILAND: On 10 May at 2200 local time, Thai Marine Police on patrol spotted one perpetrator onboard the anchored Thailand-flagged fishing trawler S KITTICHAI 1 at the Sri Songkhla Dockyard, near position 07-19N 100-57E. The trawler was unmanned and awaiting overhaul. The police boarded the trawler and found two other perpetrators cutting and pulling sheet metal in the engine room. All three perpetrators were apprehended.",keep,exclude,
2346,2346,2021-273,"NICARAGUA: On 30 October, a catamaran with three persons onboard departed Roatan, Bay Islands, Honduras, for Isla San Andreas, Colombia. The catamaran reported three close-aboard suspicious approaches between 0550 local time and 0945 local time in an area between 35 and 50 NM offshore. During the first two instances, one small boat and five men were involved in the approach. The last event included two small boats and 11 men. The catamaran executed evasive maneuvers, increased speed and had all three crew on deck as a show of force. The boats followed the catamaran for 30 minutes during the last event, eventually turning around and departing. Reports were made to the Colombian authorities upon arrival.",keep,exclude,
2356,2356,2022-177,"PHILIPPINES: On 12 July, at 2200 local time, an unknown number of armed robbers boarded a sailing vessel underway 14 NM north-northwest of Roxas city, near position 11-50N 122-41E. The robbers escaped with stolen crew belongings. All crew members were reported safe.",exclude,keep,
2358,2358,2020-111,"Ann alert crewmember onboard a bulk carrier anchored near Nacala Outer Anchorage, Mozambique, noticed an unauthorized person on the forecastle deck and raised the alarm.  Crew mustered and a search was carried out.  Seeing the alerted crew, the person escaped.  Nothing reported stolen.  All crew safe.  Incident reported to Port Control.",keep,exclude,
2364,2364,2020-60,"Eight armed men boarded a yacht anchored in Bahia Nombre de Dios, Panama.  They restrained and robbed the five person crew and escaped.  Three crew were able to remove their restraints, went to Linton Bay Marina, and made reports to the police, Coast Guard, and Port Captain.  Two women were taken to the hospital for evaluation.",exclude,keep,
